id	title	url	cover	rate	director	composer	actor	category	district	language	showtime	lenth	concluding
1292052	肖申克的救赎	http://movie.douban.com/subject/1292052/	http://img3.douban.com/view/movie_poster_cover/lpst/public/p480747492.jpg	9.6	弗兰克·德拉邦特	弗兰克·德拉邦特/斯蒂芬·金	蒂姆·罗宾斯/摩根·弗里曼/鲍勃·冈顿/威廉姆·赛德勒/克兰西·布朗/吉尔·贝罗斯/马克·罗斯顿/詹姆斯·惠特摩/杰弗里·德曼/拉里·布兰登伯格/尼尔·吉恩托利/布赖恩·利比/大卫·普罗瓦尔/约瑟夫·劳格诺/祖德·塞克利拉	剧情/犯罪	United States of America_美国	英语	1984	142	TOP
1296141	控方证人	http://movie.douban.com/subject/1296141/	http://img4.douban.com/view/movie_poster_cover/lpst/public/p1505392928.jpg	9.5	比利·怀德	阿加莎·克里斯蒂/比利·怀德/哈里·库尼兹	泰隆·鲍华/玛琳·黛德丽/查尔斯·劳顿/爱尔莎·兰切斯特/约翰·威廉姆斯/亨利·丹尼尔/伊安·沃尔夫/托林·撒切尔/诺玛·威登	剧情/悬疑/犯罪	United States of America_美国	英语/德语	1971	116	TOP
20326557	巴黎圣母院	http://movie.douban.com/subject/20326557/	http://img3.douban.com/lpic/s24131904.jpg	9.5	Gilles Maheu		海伦娜·赛加拉/加劳/丹尼尔·拉沃伊/布鲁诺·佩尔蒂埃/帕特里克·费欧里/拉克·默维尔/朱丽叶·泽纳缇	剧情/爱情/音乐	France_法国	法语	2005		TOP
1295644	这个杀手不太冷	http://movie.douban.com/subject/1295644/	http://img3.douban.com/view/movie_poster_cover/lpst/public/p511118051.jpg	9.4	吕克·贝松	吕克·贝松	让·雷诺/娜塔莉·波特曼/加里·奥德曼/丹尼·爱罗/麦温	剧情/动作/犯罪	France_法国	英语/意大利语	2010	133	TOP
1292720	阿甘正传	http://movie.douban.com/subject/1292720/	http://img4.douban.com/view/movie_poster_cover/lpst/public/p510876377.jpg	9.4	罗伯特·泽米吉斯	艾瑞克·罗斯/Winston Groom	汤姆·汉克斯/罗宾·怀特/加里·西尼斯/麦凯尔泰·威廉逊/莎莉·菲尔德/Michael Conner Humphreys/海利·乔·奥斯蒙	剧情/爱情	United States of America_美国	英语	2010	142	TOP
1291546	霸王别姬	http://movie.douban.com/subject/1291546/	http://img3.douban.com/view/movie_poster_cover/lpst/public/p1910813120.jpg	9.4	陈凯歌	芦苇/李碧华	张国荣/张丰毅/巩俐/葛优/英达/蒋雯丽/吴大维/吕齐/雷汉/尹治/马明威/费振翔/智一桐/李春/赵海龙/李丹/童弟/沈慧芬	剧情/爱情/同性	China_中国大陆/China_香港	汉语普通话	1993	171	TOP
1292063	美丽人生	http://movie.douban.com/subject/1292063/	http://img3.douban.com/view/movie_poster_cover/lpst/public/p510861873.jpg	9.4	罗伯托·贝尼尼	文森佐·克拉米/罗伯托·贝尼尼	罗伯托·贝尼尼/尼可莱塔·布拉斯基/乔治·坎塔里尼/朱斯蒂诺·杜拉诺/塞尔吉奥·比尼·布斯特里克/玛丽莎·佩雷德斯/豪斯特·巴奇霍兹/利迪娅·阿方西/朱利亚娜·洛约迪切	剧情/战争	Italy_意大利	意大利语/德语/英语	1997	118	TOP
1295124	辛德勒的名单	http://movie.douban.com/subject/1295124/	http://img3.douban.com/view/movie_poster_cover/lpst/public/p492406163.jpg	9.4	史蒂文·斯皮尔伯格	托马斯·肯尼利/斯蒂文·泽里安	连姆·尼森/本·金斯利/拉尔夫·费因斯/卡罗琳·古多尔/乔纳森·萨加尔/艾伯丝·戴维兹/马尔戈萨·格贝尔/马克·伊瓦涅/Béatrice Macola/安德烈·瑟韦林/Friedrich von Thun/Krzysztof Luft/Norbert Weisser	剧情/历史/战争	United States of America_美国	英语/希伯来语/德语/波兰语	1998	195	TOP
2131459	机器人总动员	http://movie.douban.com/subject/2131459/	http://img3.douban.com/view/movie_poster_cover/lpst/public/p449665982.jpg	9.3	安德鲁·斯坦顿	安德鲁·斯坦顿/吉姆·里尔顿/彼特·道格特	本·贝尔特/艾丽莎·奈特/杰夫·格尔林/佛莱德·威拉特	喜剧/爱情/科幻/动画/冒险	United States of America_美国	英语	1994	98	TOP
1293182	十二怒汉	http://movie.douban.com/subject/1293182/	http://img3.douban.com/view/movie_poster_cover/lpst/public/p2173577632.jpg	9.3	西德尼·吕美特	雷金纳德·罗斯	亨利·方达/马丁·鲍尔萨姆/约翰·菲尔德/李·科布/E.G.马绍尔/杰克·克卢格曼/爱德华·宾斯/杰克·瓦尔登/约瑟夫·史威尼/埃德·贝格利/乔治·沃斯科维奇/罗伯特·韦伯	剧情	United States of America_美国	英语	1997	96	TOP
1291831	灿烂人生	http://movie.douban.com/subject/1291831/	http://img3.douban.com/view/movie_poster_cover/lpst/public/p1643917533.jpg	9.3	马可·图利欧·吉欧达纳	萨多·皮查歌利尔/斯蒂法诺·鲁林	卢伊吉洛·肖卡/阿莱西奥·博尼/杰丝敏·特丽卡/索尼娅·贝加马斯卡/玛雅·珊萨/阿德里娅娜·阿斯蒂	剧情/爱情/家庭	Italy_意大利	意大利语	2004	180	TOP
